site_brom.id,site,mu,k,species,abundance,biomass
argentina_4,argentina,0.2,1,Diptera.61,14,0.7
argentina_5,argentina,0.4,2,Coleoptera.3,1,2.2
argentina_5,argentina,0.4,2,Coleoptera.33,54,9.81818181818182
argentina_5,argentina,0.4,2,Diptera.100,6,0.4941176470588235
argentina_5,argentina,0.4,2,Diptera.195,1,0.2357142857142857
argentina_5,argentina,0.4,2,Diptera.61,14,0.7777777777777778
argentina_6,argentina,3,0.5,Coleoptera.3,2,4.4
argentina_6,argentina,3,0.5,Coleoptera.33,6,0.36338028169014086
argentina_6,argentina,3,0.5,Diptera.195,5,0.2
argentina_6,argentina,3,0.5,Diptera.250,1,12.4
argentina_6,argentina,3,0.5,Diptera.276,1,1.1
argentina_6,argentina,3,0.5,Diptera.61,29,0.36250000000000004
argentina_7,argentina,1.5,1,Coleoptera.3,1,2.2
argentina_7,argentina,1.5,1,Coleoptera.33,6,3.2399999999999998
argentina_7,argentina,1.5,1,Diptera.100,3,0.24705882352941175
argentina_7,argentina,1.5,1,Diptera.195,2,0.4
argentina_7,argentina,1.5,1,Diptera.249,1,5.5
argentina_7,argentina,1.5,1,Diptera.276,4,5.0181818181818185
argentina_7,argentina,1.5,1,Diptera.61,22,1.0999999999999999
argentina_8,argentina,0.1,2,Coleoptera.33,31,4.8
argentina_8,argentina,0.1,2,Diptera.250,1,14.3
argentina_8,argentina,0.1,2,Diptera.277,3,0.9
argentina_9,argentina,0.8,1,Coleoptera.33,14,0.7411764705882352
argentina_9,argentina,0.8,1,Diptera.195,2,0.4714285714285714
argentina_9,argentina,0.8,1,Diptera.61,17,0.9444444444444445
cardoso_DEC03,cardoso,0.8,0.5,Coleoptera.34,1,0.45
cardoso_DEC03,cardoso,0.8,0.5,Coleoptera.35,28,12.6
cardoso_DEC03,cardoso,0.8,0.5,Diptera.130,1,0.025
cardoso_DEC03,cardoso,0.8,0.5,Diptera.137,11,0.264
cardoso_DEC03,cardoso,0.8,0.5,Diptera.175,147,0.9800000000000004
cardoso_DEC03,cardoso,0.8,0.5,Diptera.191,28,0.11666666666666678
cardoso_DEC03,cardoso,0.8,0.5,Diptera.20,1,0.0192307692307692
cardoso_DEC03,cardoso,0.8,0.5,Diptera.206,110,4.428571428571432
cardoso_DEC03,cardoso,0.8,0.5,Diptera.207,21,1.4000000000000006
cardoso_DEC03,cardoso,0.8,0.5,Diptera.232,1,0.11
cardoso_DEC03,cardoso,0.8,0.5,Diptera.236,1,0.0058823529411764705
cardoso_DEC03,cardoso,0.8,0.5,Diptera.263,15,0.0714285714285714
cardoso_DEC03,cardoso,0.8,0.5,Diptera.293,6,3.225263157894738
cardoso_DEC03,cardoso,0.8,0.5,Diptera.503,33,0.4714285714285719
cardoso_DEC03,cardoso,0.8,0.5,Diptera.505,1,0.0402597402597403
cardoso_DEC03,cardoso,0.8,0.5,Diptera.508,7,0.4999999999999998
cardoso_DEC03,cardoso,0.8,0.5,Diptera.511,9,0.060000000000000026
cardoso_DEC03,cardoso,0.8,0.5,Diptera.513,1,0.00833333333333333
cardoso_DEC03,cardoso,0.8,0.5,Diptera.515,4,0.03076923076923076
cardoso_DEC03,cardoso,0.8,0.5,Diptera.517,18,2.1375
cardoso_DEC03,cardoso,0.8,0.5,Diptera.522,1,0.0933333333333333
cardoso_DEC03,cardoso,0.8,0.5,Diptera.523,4,0.3733333333333332
cardoso_DEC03,cardoso,0.8,0.5,Diptera.524,1,0.0933333333333333
cardoso_DEC03,cardoso,0.8,0.5,Diptera.530,2,0.31764705882353
cardoso_DEC03,cardoso,0.8,0.5,Diptera.80,2,0.10857142857142861
cardoso_DEC03,cardoso,0.8,0.5,Diptera.88,5,0.357142857142857
cardoso_DEC03,cardoso,0.8,0.5,Haplotaxida.1,22,1.2531645569620231
cardoso_DEC03,cardoso,0.8,0.5,Hirudinea.4,30,6.80000000000001
cardoso_DEC03,cardoso,0.8,0.5,Nematoda.1,3,0.17088607594936678
cardoso_DEC03,cardoso,0.8,0.5,Odonata.5,1,3.3113977814863564
cardoso_DEC03,cardoso,0.8,0.5,Odonata.8,1,0.14324016090253403
cardoso_DEC03,cardoso,0.8,0.5,Ostracoda.4,1,0.0468431771894094
cardoso_DEC03,cardoso,0.8,0.5,Trichoptera.1,1,0.25
cardoso_DEC06,cardoso,0.2,2,Coleoptera.35,42,18.9
cardoso_DEC06,cardoso,0.2,2,Diptera.10,1,0.025
cardoso_DEC06,cardoso,0.2,2,Diptera.137,30,0.7200000000000001
cardoso_DEC06,cardoso,0.2,2,Diptera.175,283,1.8866666666666676
cardoso_DEC06,cardoso,0.2,2,Diptera.191,50,0.2083333333333335
cardoso_DEC06,cardoso,0.2,2,Diptera.206,78,3.1402597402597436
cardoso_DEC06,cardoso,0.2,2,Diptera.207,74,4.933333333333335
cardoso_DEC06,cardoso,0.2,2,Diptera.263,11,0.052380952380952354
cardoso_DEC06,cardoso,0.2,2,Diptera.293,5,2.687719298245615
cardoso_DEC06,cardoso,0.2,2,Diptera.351,4,0.011428571428571439
cardoso_DEC06,cardoso,0.2,2,Diptera.364,10,0.28571428571428603
cardoso_DEC06,cardoso,0.2,2,Diptera.503,9,0.1285714285714287
cardoso_DEC06,cardoso,0.2,2,Diptera.505,3,0.1207792207792209
cardoso_DEC06,cardoso,0.2,2,Diptera.508,2,0.1428571428571428
cardoso_DEC06,cardoso,0.2,2,Diptera.511,25,0.16666666666666674
cardoso_DEC06,cardoso,0.2,2,Diptera.512.,1,0.00666666666666667
cardoso_DEC06,cardoso,0.2,2,Diptera.513,3,0.02499999999999999
cardoso_DEC06,cardoso,0.2,2,Diptera.515,4,0.03076923076923076
cardoso_DEC06,cardoso,0.2,2,Diptera.516,1,0.00666666666666667
cardoso_DEC06,cardoso,0.2,2,Diptera.517,35,4.15625
cardoso_DEC06,cardoso,0.2,2,Diptera.520,5,0.59375
cardoso_DEC06,cardoso,0.2,2,Diptera.523,2,0.1866666666666666
cardoso_DEC06,cardoso,0.2,2,Diptera.524,3,0.2799999999999999
cardoso_DEC06,cardoso,0.2,2,Diptera.8,1,13.2
cardoso_DEC06,cardoso,0.2,2,Diptera.80,34,1.8457142857142863
cardoso_DEC06,cardoso,0.2,2,Diptera.88,9,0.6428571428571425
cardoso_DEC06,cardoso,0.2,2,Ephemeroptera.1,1,0.24005557141725498
cardoso_DEC06,cardoso,0.2,2,Haplotaxida.1,7,0.39873417721518917
cardoso_DEC06,cardoso,0.2,2,Hirudinea.4,42,9.520000000000014
cardoso_DEC06,cardoso,0.2,2,Leptagrion.sp....early.instars,7,1.1666666666666692
cardoso_DEC06,cardoso,0.2,2,Ostracoda.4,3,0.1405295315682282
cardoso_DEC06,cardoso,0.2,2,Trichoptera.1,1,0.25
cardoso_DEC07,cardoso,0.4,2,Coleoptera.34,2,0.9
cardoso_DEC07,cardoso,0.4,2,Coleoptera.35,13,5.8500000000000005
cardoso_DEC07,cardoso,0.4,2,Diptera.130,1,0.025
cardoso_DEC07,cardoso,0.4,2,Diptera.137,8,0.192
cardoso_DEC07,cardoso,0.4,2,Diptera.175,204,1.3600000000000008
cardoso_DEC07,cardoso,0.4,2,Diptera.191,7,0.029166666666666695
cardoso_DEC07,cardoso,0.4,2,Diptera.20,7,0.1346153846153844
cardoso_DEC07,cardoso,0.4,2,Diptera.206,22,0.8857142857142867
cardoso_DEC07,cardoso,0.4,2,Diptera.207,15,1.0000000000000004
cardoso_DEC07,cardoso,0.4,2,Diptera.263,13,0.06190476190476188
cardoso_DEC07,cardoso,0.4,2,Diptera.293,7,3.762807017543861
cardoso_DEC07,cardoso,0.4,2,Diptera.351,6,0.017142857142857158
cardoso_DEC07,cardoso,0.4,2,Diptera.364,2,0.057142857142857204
cardoso_DEC07,cardoso,0.4,2,Diptera.371,1,14.3
cardoso_DEC07,cardoso,0.4,2,Diptera.502,4,0.63529411764706
cardoso_DEC07,cardoso,0.4,2,Diptera.503,23,0.32857142857142896
cardoso_DEC07,cardoso,0.4,2,Diptera.508,17,1.2142857142857137
cardoso_DEC07,cardoso,0.4,2,Diptera.512.,5,0.03333333333333335
cardoso_DEC07,cardoso,0.4,2,Diptera.515,1,0.00769230769230769
cardoso_DEC07,cardoso,0.4,2,Diptera.517,30,3.5625
cardoso_DEC07,cardoso,0.4,2,Diptera.521,14,1.3066666666666662
cardoso_DEC07,cardoso,0.4,2,Diptera.522,1,0.0933333333333333
cardoso_DEC07,cardoso,0.4,2,Diptera.525,1,0.0333333333333333
cardoso_DEC07,cardoso,0.4,2,Diptera.80,61,3.3114285714285723
cardoso_DEC07,cardoso,0.4,2,Diptera.88,11,0.7857142857142854
cardoso_DEC07,cardoso,0.4,2,Haplotaxida.1,14,0.7974683544303783
cardoso_DEC07,cardoso,0.4,2,Nematoda.1,1,0.0569620253164556
cardoso_DEC07,cardoso,0.4,2,Odonata.10,1,0.0745115853041442
cardoso_DEC07,cardoso,0.4,2,Odonata.5,2,3.5514533529036116
cardoso_DEC07,cardoso,0.4,2,Trichoptera.1,1,0.25
cardoso_DEC08,cardoso,0.8,1,Coleoptera.35,53,23.85
cardoso_DEC08,cardoso,0.8,1,Coleoptera.47,1,0.1
cardoso_DEC08,cardoso,0.8,1,Coleoptera.63,1,0.16666666666666702
cardoso_DEC08,cardoso,0.8,1,Diptera.130,7,0.175
cardoso_DEC08,cardoso,0.8,1,Diptera.137,4,0.096
cardoso_DEC08,cardoso,0.8,1,Diptera.175,85,0.5666666666666669
cardoso_DEC08,cardoso,0.8,1,Diptera.191,15,0.06250000000000006
cardoso_DEC08,cardoso,0.8,1,Diptera.20,4,0.0769230769230768
cardoso_DEC08,cardoso,0.8,1,Diptera.206,48,1.9324675324675344
cardoso_DEC08,cardoso,0.8,1,Diptera.207,4,0.2666666666666668
cardoso_DEC08,cardoso,0.8,1,Diptera.236,3,0.01764705882352941
cardoso_DEC08,cardoso,0.8,1,Diptera.263,29,0.13809523809523802
cardoso_DEC08,cardoso,0.8,1,Diptera.293,6,3.225263157894738
cardoso_DEC08,cardoso,0.8,1,Diptera.351,1,0.0028571428571428597
cardoso_DEC08,cardoso,0.8,1,Diptera.502,2,0.31764705882353
cardoso_DEC08,cardoso,0.8,1,Diptera.503,39,0.5571428571428577
cardoso_DEC08,cardoso,0.8,1,Diptera.512.,18,0.12000000000000005
cardoso_DEC08,cardoso,0.8,1,Diptera.513,3,0.02499999999999999
cardoso_DEC08,cardoso,0.8,1,Diptera.517,17,2.0187500000000003
cardoso_DEC08,cardoso,0.8,1,Diptera.522,4,0.3733333333333332
cardoso_DEC08,cardoso,0.8,1,Diptera.525,1,0.0333333333333333
cardoso_DEC08,cardoso,0.8,1,Diptera.526,5,2.687719298245615
cardoso_DEC08,cardoso,0.8,1,Diptera.88,15,1.0714285714285707
cardoso_DEC08,cardoso,0.8,1,Haplotaxida.1,11,0.6265822784810116
cardoso_DEC08,cardoso,0.8,1,Nematoda.1,7,0.39873417721518917
cardoso_DEC08,cardoso,0.8,1,Odonata.5,3,3.7915089243208673
cardoso_DEC08,cardoso,0.8,1,Ostracoda.4,1,0.0468431771894094
cardoso_DEC12,cardoso,1,0.5,Coleoptera.34,1,0.45
cardoso_DEC12,cardoso,1,0.5,Coleoptera.35,78,35.1
cardoso_DEC12,cardoso,1,0.5,Coleoptera.63,2,0.33333333333333404
cardoso_DEC12,cardoso,1,0.5,Diptera.130,3,0.07500000000000001
cardoso_DEC12,cardoso,1,0.5,Diptera.137,30,0.7200000000000001
cardoso_DEC12,cardoso,1,0.5,Diptera.175,208,1.3866666666666674
cardoso_DEC12,cardoso,1,0.5,Diptera.191,23,0.09583333333333342
cardoso_DEC12,cardoso,1,0.5,Diptera.20,2,0.0384615384615384
cardoso_DEC12,cardoso,1,0.5,Diptera.206,45,1.8116883116883136
cardoso_DEC12,cardoso,1,0.5,Diptera.207,33,2.200000000000001
cardoso_DEC12,cardoso,1,0.5,Diptera.263,4,0.01904761904761904
cardoso_DEC12,cardoso,1,0.5,Diptera.293,1,0.537543859649123
cardoso_DEC12,cardoso,1,0.5,Diptera.503,47,0.6714285714285722
cardoso_DEC12,cardoso,1,0.5,Diptera.505,2,0.0805194805194806
cardoso_DEC12,cardoso,1,0.5,Diptera.511,11,0.07333333333333338
cardoso_DEC12,cardoso,1,0.5,Diptera.513,2,0.01666666666666666
cardoso_DEC12,cardoso,1,0.5,Diptera.515,5,0.03846153846153845
cardoso_DEC12,cardoso,1,0.5,Diptera.517,4,0.475
cardoso_DEC12,cardoso,1,0.5,Diptera.523,3,0.2799999999999999
cardoso_DEC12,cardoso,1,0.5,Diptera.80,6,0.32571428571428584
cardoso_DEC12,cardoso,1,0.5,Diptera.88,8,0.5714285714285712
cardoso_DEC12,cardoso,1,0.5,Haplotaxida.1,4,0.2278481012658224
cardoso_DEC12,cardoso,1,0.5,Hirudinea.4,2,0.45333333333333403
cardoso_DEC12,cardoso,1,0.5,Leptagrion.sp....early.instars,4,0.6666666666666681
cardoso_DEC12,cardoso,1,0.5,Nematoda.1,1,0.0569620253164556
cardoso_DEC12,cardoso,1,0.5,Ostracoda.4,86,4.028513238289208
cardoso_DEC12,cardoso,1,0.5,Trichoptera.1,1,0.25
cardoso_DEC13,cardoso,2,1,Coleoptera.34,5,2.25
cardoso_DEC13,cardoso,2,1,Coleoptera.35,36,16.2
cardoso_DEC13,cardoso,2,1,Coleoptera.62,1,0.025
cardoso_DEC13,cardoso,2,1,Diptera.130,5,0.125
cardoso_DEC13,cardoso,2,1,Diptera.137,2,0.048
cardoso_DEC13,cardoso,2,1,Diptera.175,59,0.39333333333333353
cardoso_DEC13,cardoso,2,1,Diptera.191,1,0.00416666666666667
cardoso_DEC13,cardoso,2,1,Diptera.20,6,0.11538461538461521
cardoso_DEC13,cardoso,2,1,Diptera.206,45,1.8116883116883136
cardoso_DEC13,cardoso,2,1,Diptera.236,7,0.041176470588235294
cardoso_DEC13,cardoso,2,1,Diptera.263,4,0.01904761904761904
cardoso_DEC13,cardoso,2,1,Diptera.293,8,4.300350877192984
cardoso_DEC13,cardoso,2,1,Diptera.370,1,14.3
cardoso_DEC13,cardoso,2,1,Diptera.502,2,0.31764705882353
cardoso_DEC13,cardoso,2,1,Diptera.503,82,1.1714285714285726
cardoso_DEC13,cardoso,2,1,Diptera.512.,2,0.01333333333333334
cardoso_DEC13,cardoso,2,1,Diptera.513,1,0.00833333333333333
cardoso_DEC13,cardoso,2,1,Diptera.517,5,0.59375
cardoso_DEC13,cardoso,2,1,Diptera.519,1,0.11875
cardoso_DEC13,cardoso,2,1,Diptera.521,4,0.3733333333333332
cardoso_DEC13,cardoso,2,1,Diptera.522,1,0.0933333333333333
cardoso_DEC13,cardoso,2,1,Diptera.526,1,0.537543859649123
cardoso_DEC13,cardoso,2,1,Diptera.532,1,0.028571428571428602
cardoso_DEC13,cardoso,2,1,Diptera.80,26,1.411428571428572
cardoso_DEC13,cardoso,2,1,Diptera.88,5,0.357142857142857
cardoso_DEC13,cardoso,2,1,Haplotaxida.1,10,0.569620253164556
cardoso_DEC13,cardoso,2,1,Odonata.5,1,3.3113977814863564
cardoso_DEC13,cardoso,2,1,Ostracoda.4,4,0.1873727087576376
cardoso_DEC13,cardoso,2,1,Trichoptera.1,1,0.25
cardoso_DEC15,cardoso,3,2,Coleoptera.35,15,6.75
cardoso_DEC15,cardoso,3,2,Coleoptera.47,1,0.1
cardoso_DEC15,cardoso,3,2,Coleoptera.63,2,0.33333333333333404
cardoso_DEC15,cardoso,3,2,Diptera.130,1,0.025
cardoso_DEC15,cardoso,3,2,Diptera.137,6,0.14400000000000002
cardoso_DEC15,cardoso,3,2,Diptera.175,102,0.6800000000000004
cardoso_DEC15,cardoso,3,2,Diptera.191,5,0.02083333333333335
cardoso_DEC15,cardoso,3,2,Diptera.206,10,0.402597402597403
cardoso_DEC15,cardoso,3,2,Diptera.207,8,0.5333333333333335
cardoso_DEC15,cardoso,3,2,Diptera.263,11,0.052380952380952354
cardoso_DEC15,cardoso,3,2,Diptera.293,1,0.537543859649123
cardoso_DEC15,cardoso,3,2,Diptera.503,10,0.14285714285714302
cardoso_DEC15,cardoso,3,2,Diptera.507,1,0.0714285714285714
cardoso_DEC15,cardoso,3,2,Diptera.509,2,0.0384615384615384
cardoso_DEC15,cardoso,3,2,Diptera.513,2,0.01666666666666666
cardoso_DEC15,cardoso,3,2,Diptera.523,11,1.0266666666666664
cardoso_DEC15,cardoso,3,2,Diptera.8,2,26.4
cardoso_DEC15,cardoso,3,2,Diptera.80,9,0.4885714285714287
cardoso_DEC15,cardoso,3,2,Haplotaxida.1,8,0.4556962025316448
cardoso_DEC15,cardoso,3,2,Leptagrion.sp....early.instars,2,0.33333333333333404
cardoso_DEC15,cardoso,3,2,Nematoda.1,2,0.1139240506329112
cardoso_DEC15,cardoso,3,2,Odonata.5,2,3.5514533529036116
cardoso_DEC15,cardoso,3,2,Trichoptera.1,1,0.25
cardoso_DEC16,cardoso,0.8,2,Coleoptera.35,20,9
cardoso_DEC16,cardoso,0.8,2,Diptera.130,1,0.025
cardoso_DEC16,cardoso,0.8,2,Diptera.137,7,0.168
cardoso_DEC16,cardoso,0.8,2,Diptera.175,270,1.8000000000000007
cardoso_DEC16,cardoso,0.8,2,Diptera.191,43,0.17916666666666684
cardoso_DEC16,cardoso,0.8,2,Diptera.206,113,4.549350649350654
cardoso_DEC16,cardoso,0.8,2,Diptera.207,45,3.0000000000000013
cardoso_DEC16,cardoso,0.8,2,Diptera.263,60,0.2857142857142856
cardoso_DEC16,cardoso,0.8,2,Diptera.293,11,5.912982456140353
cardoso_DEC16,cardoso,0.8,2,Diptera.503,74,1.0571428571428583
cardoso_DEC16,cardoso,0.8,2,Diptera.504,5,0.2012987012987015
cardoso_DEC16,cardoso,0.8,2,Diptera.508,7,0.4999999999999998
cardoso_DEC16,cardoso,0.8,2,Diptera.511,6,0.04000000000000002
cardoso_DEC16,cardoso,0.8,2,Diptera.515,1,0.00769230769230769
cardoso_DEC16,cardoso,0.8,2,Diptera.517,20,2.375
cardoso_DEC16,cardoso,0.8,2,Diptera.522,1,0.0933333333333333
cardoso_DEC16,cardoso,0.8,2,Diptera.523,2,0.1866666666666666
cardoso_DEC16,cardoso,0.8,2,Diptera.524,2,0.1866666666666666
cardoso_DEC16,cardoso,0.8,2,Diptera.527,1,0.0333333333333333
cardoso_DEC16,cardoso,0.8,2,Diptera.528,1,0.158823529411765
cardoso_DEC16,cardoso,0.8,2,Diptera.80,44,2.3885714285714292
cardoso_DEC16,cardoso,0.8,2,Diptera.88,8,0.5714285714285712
cardoso_DEC16,cardoso,0.8,2,Diptera.91,2,0.2375
cardoso_DEC16,cardoso,0.8,2,Haplotaxida.1,11,0.6265822784810116
cardoso_DEC16,cardoso,0.8,2,Hirudinea.4,1,0.22666666666666702
cardoso_DEC16,cardoso,0.8,2,Nematoda.1,7,0.39873417721518917
cardoso_DEC16,cardoso,0.8,2,Odonata.5,4,4.031564495738122
cardoso_DEC16,cardoso,0.8,2,Odonata.8,3,0.42972048270760205
cardoso_DEC16,cardoso,0.8,2,Ostracoda.4,1,0.0468431771894094
cardoso_DEC17,cardoso,3,0.5,Coleoptera.35,43,19.349999999999998
cardoso_DEC17,cardoso,3,0.5,Diptera.137,26,0.624
cardoso_DEC17,cardoso,3,0.5,Diptera.175,75,0.5000000000000002
cardoso_DEC17,cardoso,3,0.5,Diptera.191,37,0.15416666666666679
cardoso_DEC17,cardoso,3,0.5,Diptera.20,2,0.0384615384615384
cardoso_DEC17,cardoso,3,0.5,Diptera.206,37,1.4896103896103912
cardoso_DEC17,cardoso,3,0.5,Diptera.207,80,5.333333333333336
cardoso_DEC17,cardoso,3,0.5,Diptera.263,29,0.13809523809523802
cardoso_DEC17,cardoso,3,0.5,Diptera.293,4,2.150175438596492
cardoso_DEC17,cardoso,3,0.5,Diptera.351,13,0.03714285714285718
cardoso_DEC17,cardoso,3,0.5,Diptera.364,1,0.028571428571428602
cardoso_DEC17,cardoso,3,0.5,Diptera.503,17,0.2428571428571431
cardoso_DEC17,cardoso,3,0.5,Diptera.507,2,0.1428571428571428
cardoso_DEC17,cardoso,3,0.5,Diptera.511,38,0.2533333333333334
cardoso_DEC17,cardoso,3,0.5,Diptera.517,24,2.85
cardoso_DEC17,cardoso,3,0.5,Diptera.518,1,0.11875
cardoso_DEC17,cardoso,3,0.5,Diptera.520,5,0.59375
